,MktCapBTC,MktCapUSD,Names,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,CirculatingSupply
monacocoin,2871.83194458,43250758.0324,monacocoin,0.000292356,4.40298,172,9823064.84073,14.4229,217214.0,2823064.84073
flash,2802.195,42201990.0,flash,3.11355e-06,0.0468911,173,900000000.0,29.9766,451458.0,900000000.0
draftcoin,2760.66561416,41576510.0773,draftcoin,0.000158237,2.3831,174,17446397.5819,10.3245,155490.0,2302313.83145
luxcoin,2646.70266251,39860052.5679,luxcoin,0.000701694,10.5677,175,3771875.86399,73.7225,1110290.0,771875.863989
stealthcoin,2639.38256965,39749839.5365,stealthcoin,9.50487e-05,1.43146,176,27768739.2847,87.0533,1311050.0,27768739.2847
rubycoin,2496.54440997,37598663.4494,rubycoin,9.92332e-05,1.49448,177,25158358.3918,20.3594,306619.0,25158358.3918
internet-of-people,2496.05086783,37591339.2501,internet-of-people,0.0007244,10.9097,178,3445680.38077,430.573,6484580.0,3295367.31518
vericoin,2495.35090951,37580783.0046,vericoin,8.16397e-05,1.22952,179,30565410.0824,162.779,2451510.0,30565410.0824
florincoin,2279.18812119,34325164.8016,florincoin,1.61551e-05,0.2433,180,141081647.356,62.3776,939428.0,141081647.356
myriad,2274.15891689,34249602.329,myriad,1.47502e-06,0.0222143,181,1541781750.0,95.1118,1432420.0,1541781750.0
eccoin,2250.0,33885750.0,eccoin,9e-08,0.00135543,182,25000000000.0,11.4584,172568.0,25000000000.0
bismuth,2226.17245897,33526892.8016,bismuth,0.000300346,4.52331,183,7412026.3262,36.9275,556141.0,6779987.32572
fedoracoin,2152.40581865,32415891.2404,fedoracoin,4.85686e-09,7.31458e-05,184,4.43168182458e+11,2.51319,37849.5,4.43168182458e+11
musicoin,2095.44079716,31558060.086,musicoin,3.87857e-06,0.0584126,185,540261178.0,139.985,2108210.0,540261178.0
espers,1879.9333308,28312486.499,espers,9.01067e-08,0.00135704,186,20863413384.3,36.7425,553354.0,20863413384.3
cannabiscoin,1857.63136313,27976446.7819,cannabiscoin,2.02226e-05,0.304558,187,91859175.5326,1119.62,16861900.0,77231175.5326
gambit,1846.53926499,27809525.8283,gambit,0.00153855,23.1711,188,1200181.51181,8.7983,132505.0,1200181.51181
bitdeal,1797.70345783,27074057.5776,bitdeal,8.18699e-06,0.123299,189,219580512.231,37.3291,562188.0,175583793.0
energycoin,1711.02423635,25768535.3902,energycoin,1.408e-05,0.212049,190,121521607.695,17.3046,260614.0,121521607.695
atbcoin,1681.05619216,25317253.0777,atbcoin,3.22916e-05,0.486322,191,52058621.8138,231.775,3490620.0,40081821.8138
sequence,1653.98542333,24909572.8602,sequence,3.653e-05,0.550154,193,45277454.7858,43.4176,653883.0,45277454.7858
leocoin,1628.88299428,24531549.907,leocoin,1.56335e-05,0.235446,194,104191831.278,0.900564,13562.8,95834412.7489
pinkcoin,1627.95187292,24517481.952,pinkcoin,4.17167e-06,0.0628267,195,390239849.491,83.1251,1251890.0,377239849.491
gcoin,1600.84808836,24109222.7499,gcoin,1.07164e-08,0.000161392,196,1.4938301e+11,136.209,2051350.0,1.4938301e+11
masternodecoin,1599.79151077,24093406.2658,masternodecoin,1.992e-05,0.300002,197,80310818.814,0.984129,14821.3,46526324.9988
dynamic,1598.04294523,24067054.9955,dynamic,0.00034427,5.18482,198,4641830.38091,178.747,2691980.0,1887926.38091
universal-currency,1591.35868744,23966410.8213,universal-currency,9.55589e-05,1.43915,199,16653170.8448,14.1984,213832.0,12553170.8448
sexcoin,1588.10576873,23917458.4118,sexcoin,1.2639e-05,0.190348,200,125651219.933,30.9137,465570.0,125651219.933
bitsend,1581.8684058,23823436.8375,bitsend,8.92312e-05,1.34385,201,17727750.0,44.1046,664229.0,17727750.0
bitmark,1561.1630668,23511634.974,bitmark,0.00020387,3.07035,202,7657640.0,20.3564,306573.0,7657640.0
boolberry,1554.40555811,23409883.707,boolberry,0.000145,2.18375,203,10720038.3318,1.67414,25213.1,10720038.3318
atmos,1494.46613939,22507259.4877,atmos,1.35428e-05,0.20396,204,110351340.889,8.76868,132059.0,100351340.889
spreadcoin,1488.82464979,22422198.974,spreadcoin,0.000159027,2.395,205,9362087.25429,284.815,4289410.0,9362087.25429
the-champcoin,1475.86,22226844.0,the-champcoin,6.77e-06,0.101958,206,218000000.0,1.90393,28673.8,164925727.0
vcash,1460.75966207,21999492.5299,vcash,9.501e-05,1.43088,207,15374799.0956,35.6818,537379.0,15374799.0956
pure,1459.9935828,21987988.0668,pure,0.00035603,5.36193,208,4100760.0,24.0242,361813.0,2991480.842
dopecoin,1441.41441713,21708090.684,dopecoin,1.23361e-05,0.185785,209,116845228.0,133.051,2003790.0,116845228.0
curecoin,1417.26754957,21344516.2747,curecoin,5.94734e-05,0.895689,210,23830276.2171,29.3083,441393.0,23830276.2171
bulwark,1410.98157298,21249934.2976,bulwark,0.000710287,10.6972,211,1986494.99847,63.5041,956392.0,1668949.47026
dimecoin,1364.59401551,20551176.3953,dimecoin,2.53126e-09,3.81215e-05,212,5.3909674056e+11,18.4866,278414.0,5.3909674056e+11
belacoin,1360.37784176,20487711.4052,belacoin,3.46048e-05,0.521159,213,39311825.0,107.143,1613600.0,39311825.0
oxycoin,1352.59642635,20370504.0347,oxycoin,1.28779e-05,0.193945,214,105032375.337,1.67923,25289.7,85259056.8151
hyperstake,1331.57962392,20054023.7827,hyperstake,1.21257e-06,0.0182617,215,1098146600.96,27.0257,407016.0,1098146600.96
transfercoin,1266.86798076,19079455.7169,transfercoin,0.000201957,3.04154,216,6272959.0,69.7864,1051010.0,6272959.0
sagacoin,1259.76567512,18972490.7834,sagacoin,0.000577543,8.69799,217,2181250.01103,33.908,510666.0,221788.849269
mintcoin,1256.26671778,18919803.0187,mintcoin,5.03569e-08,0.000758392,218,24947260808.0,57.1929,861344.0,24947260808.0
artbyte,1253.12027284,18872372.5193,artbyte,1.58115e-06,0.0238126,219,792537250.0,42.4746,639682.0,792537250.0
trezarcoin,1248.84563475,18808087.4403,trezarcoin,1.28275e-05,0.193187,220,97356900.0,8.34611,125695.0,85356900.0
alqo,1225.06831543,18449944.9818,alqo,6.95562e-05,1.04754,221,17612640.0727,12.0358,181263.0,17612640.0727
dubaicoin-dbix,1216.27602704,18317451.2792,dubaicoin-dbix,0.00067524,10.1693,222,1801249.966,24.2706,365523.0,1801249.966
unobtanium,1192.74693094,17963164.0257,unobtanium,0.0060234,90.7144,223,198018.881519,1.98025,29823.3,198018.881519
primecoin,1172.66050119,17660660.0589,primecoin,5.33935e-05,0.804124,224,21962607.8303,26.201,394596.0,21962607.8303
memetic,1152.11476516,17351222.6848,memetic,6.00001e-05,0.903621,225,19201880.7496,150.176,2261700.0,18834628.2995
colossuscoin-v2,1148.86758991,17302336.519,colossuscoin-v2,5e-08,0.000753017,226,22977351798.2,0.342486,5157.95,2358819008.99
pesetacoin,1137.47125779,17130663.6779,pesetacoin,8.60713e-06,0.129626,227,132154534.414,49.987,752821.0,132154534.414
hush,1100.847735,16579138.875,hush,0.000490902,7.39315,228,2242500.0,35.2354,530657.0,2242500.0
auroracoin,1091.15064275,16433061.4987,auroracoin,0.000126026,1.89799,229,8658139.13597,61.9124,932422.0,8658139.13597
social-send,1087.70558757,16381182.7657,social-send,3.23581e-05,0.487323,230,33614630.8829,36.8089,554354.0,31424688.2594
newyorkcoin,1085.29343705,16344840.531,newyorkcoin,8.41099e-09,0.000126672,231,1.29032781759e+11,3.57484,53838.2,1.29032781759e+11
bitcoin-plus,1073.00836854,16159775.9116,bitcoin-plus,0.0102736,154.723,232,104443.269013,24.3234,366318.0,104443.269013
innova,1061.02932714,15979441.9794,innova,0.000521048,7.84715,233,2036337.01145,28.0929,423088.0,1286337.01145
cryptocarbon,1044.743,15734110.0,cryptocarbon,1.49249e-05,0.224773,234,70000000.0,2.69914,40649.9,3562111.0
neutron,1042.96426499,15707406.8697,neutron,3.14913e-05,0.47427,235,33119123.8529,4.10194,61776.5,33119123.8529
bitzeny,1030.81467125,15524412.995,bitzeny,1.36325e-05,0.20531,236,75614500.0,16.1308,242935.0,75614500.0
startcoin,993.95932435,14969377.7967,startcoin,1.40425e-05,0.211485,237,70782220.0,31.2596,470780.0,45079785.0
vivo,987.27835186,14868750.9239,vivo,0.000546208,8.22608,238,1807513.53305,16.983,255770.0,987513.533049
tao,981.188280989,14777022.5744,tao,3e-05,0.45181,239,32706276.033,0.219959,3312.65,32706276.033
dotcoin,969.5923604,14602380.4037,dotcoin,1.7968e-06,0.0270604,240,539621750.0,55.9132,842071.0,274621750.0
novacoin,954.570910876,14376176.9062,novacoin,0.000490762,7.39105,241,1945079.10326,11.4572,172549.0,1945079.10326
blockpool,936.226736303,14099891.5615,blockpool,3.70576e-05,0.5581,242,25264095.2545,2.15265,32419.7,22293890.0011
blitzcash,920.552282627,13863819.5477,blitzcash,0.00022361,3.36764,243,4116776.00567,18.0531,271885.0,4116776.00567
crowdcoin,919.853485455,13853261.4368,crowdcoin,0.000969543,14.6016,244,948749.550515,37.8591,570171.0,598749.550515
dnotes,915.135480213,13782207.2343,dnotes,7.01175e-06,0.105599,245,130514562.016,4.96008,74700.4,130514562.016
