CirculatingSupply,MktCapBTC,MktCapUSD,Names,Platform,PricesBTC,PricesUSD,TotalSupply,Vol24BTC,Vol24USD,Marketcap Ratio,Circulating Ratio
" 33,509,711.00 "," 1,668.97 "," 25,143,090.00 ",ethereum-blue,ETH, 0.00003974 , 0.598645 ," 42,000,000.00 ", 33.56 ," 505,626.00 ",2.011%,80%
" 1,521,491.81 ", 19.26 ," 290,050.21 ",aerium,, 0.00000997 , 0.150200 ," 1,931,093.30 ", 0.75 ," 11,308.40 ",3.899%,79%
" 16,100,860.00 ", 496.85 ," 7,482,727.33 ",e-gulden,, 0.00002409 , 0.362769 ," 20,626,700.00 ", 15.18 ," 228,566.00 ",3.055%,78%
" 643,012,000.00 "," 1,585.38 "," 23,883,806.42 ",voisecom,ETH, 0.00000192 , 0.028930 ," 825,578,000.00 ", 84.88 ," 1,278,740.00 ",5.354%,78%
" 6,999,991.00 "," 2,126.26 "," 32,032,141.17 ",clearpoll,ETH, 0.00023625 , 3.559130 ," 8,999,991.90 ", 47.77 ," 719,717.00 ",2.247%,78%
" 40,081,821.81 "," 1,681.06 "," 25,317,253.08 ",atbcoin,, 0.00003229 , 0.486322 ," 52,058,621.81 ", 231.78 ," 3,490,620.00 ",13.788%,77%
" 42,635,221.10 "," 4,236.84 "," 63,828,405.41 ",stox,ETH, 0.00007246 , 1.091550 ," 58,475,017.56 ", 146.79 ," 2,211,400.00 ",3.465%,73%
" 223,165,675.01 "," 4,747.51 "," 71,499,059.09 ",lomocoin,, 0.00001541 , 0.232015 ," 308,165,675.01 ", 432.98 ," 6,520,840.00 ",9.120%,72%
" 175,109,299.00 "," 5,289.26 "," 79,682,968.59 ",worldcore,ETH, 0.00002157 , 0.324959 ," 245,209,299.00 ", 116.79 ," 1,759,440.00 ",2.208%,71%
" 93,358,791.45 ", 688.17 ," 10,364,057.07 ",interstellar-holdings,, 0.00000518 , 0.077990 ," 132,889,904.44 ", 13.96 ," 210,275.00 ",2.029%,70%
" 321,137,782.25 "," 2,809.68 "," 42,327,911.49 ",kickico,ETH, 0.00000614 , 0.092467 ," 457,760,867.84 ", 136.84 ," 2,061,500.00 ",4.870%,70%
" 49,573,003.50 ", 997.27 ," 15,023,974.87 ",sportyfi,ETH, 0.00001411 , 0.212583 ," 70,673,453.99 ", 26.93 ," 405,687.00 ",2.700%,70%
" 6,247,267.00 "," 1,121.13 "," 16,890,021.54 ",trueflip,ETH, 0.00012562 , 1.892510 ," 8,924,667.00 ", 66.12 ," 996,095.00 ",5.898%,70%
" 140,000,000.00 "," 5,247.62 "," 79,055,800.00 ",mothership,ETH, 0.00002624 , 0.395279 ," 200,000,000.00 ", 105.88 ," 1,595,060.00 ",2.018%,70%
" 70,000,000.00 "," 4,418.15 "," 66,559,631.17 ",patientory,ETH, 0.00004418 , 0.665583 ," 100,002,000.00 ", 408.99 ," 6,161,410.00 ",9.257%,70%
" 15,746,668.29 ", 909.53 ," 13,697,842.45 ",copico,, 0.00003965 , 0.597102 ," 22,940,540.23 ", 45.12 ," 679,516.00 ",4.961%,69%
" 6,731,528.00 ", 689.72 ," 10,390,738.54 ",qvolta,ETH, 0.00006831 , 1.029120 ," 10,096,722.00 ", 18.44 ," 277,738.00 ",2.673%,67%
" 16,500,000.00 "," 6,582.00 "," 99,158,250.00 ",everex,ETH, 0.00026328 , 3.966330 ," 25,000,000.00 "," 1,383.02 "," 20,835,300.00 ",21.012%,66%
