,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
rubycoin,25189406.0,0.00013788,rubycoin,2.86,6.32,5.93,,49578545.0,RBY,25189406.0,1.96823,278216.0,19,"January 09, 2018, 04:26:42 PM",POS,POS,Cryptopia,,,Bittrex
runners,,0.00000006,runners,-0.16,24.56,33.42,,,RUNNERS,,0.000857965,1567.07,0,0,,,,,,
rupaya,6153271.0,0.00000348,rupaya,0.53,34.76,90.72,8400000.0,306008.0,RUPX,6153271.0,0.0497309,1492.52,31,<b>Today</b> at 12:45:38 AM,,,,,,
rupaya-old,,0.00000056,rupaya-old,-0.16,-20.48,28.26,,,RUPX,,0.00800767,596.118,31,<b>Today</b> at 12:45:38 AM,,,,,,
rupee,22860350.0,0.00004765,rupee,5.73,6.53,112.83,84000000.0,15574299.0,RUP,22860350.0,0.68128,239462.0,13,"January 12, 2018, 02:47:05 PM",Scrypt,POW,Cryptopia,,,
russiacoin,8377873.0,0.00025876,russiacoin,-1.46,6.06,660.37,,30986150.0,RC,8377873.0,3.69857,130497.0,8,<b>Today</b> at 12:37:01 AM,Scrypt,POS,Cryptopia,,,
russian-mining-coin,1507.0,1.1789,russian-mining-coin,2.31,3.66,-20.93,,25393854.0,RMC,10757.0,16850.6,171796.0,0,0,,,,,,
rustbits,35300866.0,0.00001127,rustbits,,-7.99,,,5558722.0,RUSTBITS,100000000.0,0.157467,,33,"January 08, 2018, 10:13:21 AM",,,,,,
sacoin,7017110.0,0.00000339,sacoin,-0.19,5.53,6.92,,339195.0,SAC,7017110.0,0.0483383,14.9839,2,"December 23, 2017, 12:31:09 PM",,,,,,
safe-exchange-coin,,0.00000467,safe-exchange-coin,-10.26,53.99,111.66,2147483647.0,,SAFEX,2147483647.0,0.0667577,439429.0,100,<b>Today</b> at 02:00:25 AM,None,Asset,Cryptopia,,,
safe-trade-coin,,0.00000003,safe-trade-coin,-0.11,58.66,60.04,,,XSTC,604880000.0,0.0004289,2046.86,0,0,,,,,,
safecoin,,0.00000001,safecoin,-50.04,-54.69,-14.75,,,SFE,,0.000142967,26491.9,0,0,,,,,,
sagacoin,221789.0,0.00129532,sagacoin,-4.93,29.6,36.24,,4120282.0,SAGA,2181250.0,18.5775,1518360.0,30,"January 12, 2018, 11:08:13 PM",Scrypt,Hybrid,Cryptopia,,,
sakuracoin,,0.00000095,sakuracoin,-1.37,26.81,33.28,105100000.0,,SKR,,0.0135818,9361.86,8,"January 01, 2018, 02:14:03 PM",Scrypt,POW,Cryptopia,,,
salt,54155100.0,0.00087477,salt,1.72,9.44,9.82,,677610267.0,SALT,120000000.0,12.5124,22291600.0,34,"January 12, 2018, 11:03:13 AM",,,,,Binance,Bittrex
salus,1009818.0,0.00607903,salus,2.68,11.32,-15.78,,87629276.0,SLS,1009818.0,86.7773,804385.0,29,"January 06, 2018, 02:45:40 AM",,,,,,Bittrex
sand-coin,,0.00009017,sand-coin,-0.27,-31.5,73.43,2684319.0,,SND,2684319.0,1.28918,17809.0,0,0,,,,,,
santa-coin,,0.00002420,santa-coin,,,-0.82,28000000.0,,STC,,0.402641,,0,0,POS,POS,Cryptopia,,,
santiment,60522871.0,0.00046567,santiment,0.08,4.22,-11.51,,403126502.0,SAN,83337000.0,6.66073,2185810.0,22,"January 03, 2018, 11:56:47 PM",,,,,,
sativacoin,7088181.0,0.00000747,sativacoin,0.16,18.5,-0.36,,756855.0,STV,7088181.0,0.106777,3168.72,9,"January 01, 2018, 05:33:35 PM",X13,POS,Cryptopia,,,
satoshimadness,2000683485.0,0.00000002,satoshimadness,0.99,-16.3,70.62,,572257.0,MAD,2000683485.0,0.000286031,1114.17,14,"January 09, 2018, 03:44:24 PM",,,,,,
save-and-gain,3064800.0,0.00000091,save-and-gain,-0.04,14.74,158.51,,39860.0,SANDG,3064800.0,0.0130056,10.1471,35,"February 15, 2017, 08:01:45 AM",,,,,,
scorecoin,30346591.0,0.00001199,scorecoin,2.29,60.64,318.8,,5218430.0,SCORE,30346591.0,0.171961,59097.1,25,"December 23, 2017, 06:46:05 PM",Scrypt,POW,Cryptopia,,,
secretcoin,4228672.0,0.00000967,secretcoin,-0.2,4.31,39.1,,583070.0,SCRT,4228672.0,0.137885,170.221,36,"July 03, 2016, 01:06:31 AM",,,,,,
securecoin,8374536.0,0.00000477,securecoin,-0.12,-3.32,-27.95,,571685.0,SRC,8374536.0,0.0682647,11448.7,0,0,Scrypt,POW,Cryptopia,,,
segwit2x,,0.011144,segwit2x,-4.75,-3.04,-13.27,,,B2X,,159.46,771285.0,87,<b>Today</b> at 12:35:44 AM,,,,,,
selfiecoin,107829281.0,0.00000001,selfiecoin,0.14,6.19,-14.73,,15416.0,SLFI,107829281.0,0.000142969,560.46,12,"January 10, 2018, 06:40:02 PM",,,,,,
senderon,42592901.0,0.00000180,senderon,1.58,9.9,-20.47,,1096248.0,SDRN,45625900.0,0.0257378,31798.2,73,"January 12, 2018, 09:24:55 PM",None,Asset,Cryptopia,,,
sequence,45300869.0,0.00005391,sequence,2.61,18.65,49.62,,34861646.0,SEQ,45300869.0,0.769558,421689.0,14,<b>Today</b> at 01:08:01 AM,,,,,,Bittrex
sexcoin,125686007.0,0.00000837,sexcoin,2.36,-9.41,-32.49,,15032298.0,SXC,125686007.0,0.119602,97224.8,77,"January 12, 2018, 05:22:49 PM",Scrypt,POW,Cryptopia,,,
shacoin,,0.00000061,shacoin,-3.33,31.47,117.28,,,SHA,,0.00872096,12079.2,164,"<span class=""edited"" title=""Last edit: December 28, 2017, 11:03:12 PM by zidansz"">December 28, 2017, 10:49:27 PM</span>",SHA256,POS,Cryptopia,,,
shadow-token,7000000.0,0.00000411,shadow-token,-0.24,-45.51,-4.3,,410516.0,SHDW,10000000.0,0.0586451,224.461,33,"September 15, 2017, 10:52:08 AM",,,,,,
shadowcash,6695133.0,0.00001918,shadowcash,0.16,-15.27,19.9,,1835906.0,SDC,6695133.0,0.274215,97.9218,0,0,,,,,,
sharechain,1844023561.0,0.00000069,sharechain,2.35,-5.75,53.15,,18316041.0,SSS,10000000000.0,0.00993265,56324.0,0,0,,,,,,
sharkcoin,,0.00000070,sharkcoin,3.7,-7.18,72.16,,,SAK,,0.0100154,12011.3,12,"January 12, 2018, 06:41:23 PM",Scrypt,POW,Cryptopia,,,
shellcoin,,0.00000293,shellcoin,-0.11,-21.45,4.09,,,SHELL,96183700.0,0.0418973,61.3531,40,"October 01, 2017, 03:24:42 PM",,,,,,
shield-xsh,481657007.0,0.00001973,shield-xsh,2.25,20.98,48.68,660000000.0,135736243.0,XSH,481657007.0,0.281811,806415.0,124,<b>Today</b> at 02:52:22 AM,,,,,,
shift,11608165.0,0.00066993,shift,1.1,9.06,10.09,,111079458.0,SHIFT,11608165.0,9.56908,1162100.0,295,"January 12, 2018, 03:59:19 AM",,,,,,Bittrex
shilling,40619725.0,0.00000080,shilling,-0.2,8.44,-14.02,,463361.0,SH,40619725.0,0.0114073,49.1499,0,0,,,,,,
shorty,100000000.0,0.00000140,shorty,,2.86,-18.0,,1938810.0,SHORTY,100000000.0,0.0193881,,12,"January 06, 2018, 01:02:07 AM",,,,,,
show,,0.00000106,show,4.48,-15.83,,,,SHOW,10000000000.0,0.0150922,36898000.0,0,0,,,,,,
siacoin,31396146174.0,0.00000461,siacoin,1.58,3.99,-11.53,,2069957336.0,SC,31396146174.0,0.0659303,150839000.0,379,<b>Today</b> at 01:23:31 AM,,,,,,Bittrex
sibcoin,16166787.0,0.00028973,sibcoin,5.08,17.19,-2.12,,66863405.0,SIB,16166787.0,4.13585,750809.0,136,"<span class=""edited"" title=""Last edit: January 12, 2018, 06:04:15 PM by chum_yum"">January 12, 2018, 05:51:38 PM</span>",X11,POW,Cryptopia,,,Bittrex
sigmacoin,,0.00000808,sigmacoin,0.06,23.53,22.12,,,SIGMA,,0.115605,39426.6,0,0,,,,,,
signatum,107972766.0,0.00000111,signatum,1.41,15.2,-32.17,,1718646.0,SIGT,107972766.0,0.0159174,3686.57,547,"October 22, 2017, 09:37:11 PM",,,,,,
simple-token,201026156.0,0.00008255,simple-token,-1.81,18.1,71.93,,237042002.0,OST,800000000.0,1.17916,21754700.0,10,"January 12, 2018, 09:44:48 AM",,,,,,
singulardtv,600000000.0,0.00002485,singulardtv,5.62,27.2,-6.02,,212973600.0,SNGLS,1000000000.0,0.354956,7006010.0,24,"January 12, 2018, 07:04:31 PM",,,,,Binance,
sirin-labs-token,98939459.0,0.00014338,sirin-labs-token,1.47,6.78,47.95,,202633949.0,SRN,573145073.0,2.04806,8290880.0,0,0,,,,,,
sisa,,0.00000298,sisa,6.44,33.64,43.02,,,SISA,50000000.0,0.042603,71371.7,16,"January 09, 2018, 07:34:27 PM",,,,,,
sixeleven,434881.0,0.00015914,sixeleven,0.18,-17.57,305.49,,989750.0,611,434881.0,2.27591,14145.9,30,"January 10, 2018, 02:35:18 PM",SHA256,POW,Cryptopia,,,
skeincoin,1250000.0,0.00000706,skeincoin,-7.69,51.81,43.43,,125666.0,SKC,17000000.0,0.100533,9634.24,77,"January 12, 2018, 10:57:24 PM",Skein,POW,Cryptopia,,,
skincoin,88183483.0,0.00000234,skincoin,4.37,10.27,41.5,,2965875.0,SKIN,488183483.0,0.033633,79547.7,24,"January 12, 2018, 11:36:51 PM",None,Asset,Cryptopia,,,
skycoin,7151390.0,0.00302344,skycoin,2.78,2.15,-4.9,100000000.0,309270444.0,SKY,25000000.0,43.2462,982798.0,178,"<span class=""edited"" title=""Last edit: January 12, 2018, 06:38:27 PM by Exister"">January 12, 2018, 06:27:35 PM</span>",Other,Other,Cryptopia,,,
slevin,70000000.0,0.00000019,slevin,11.68,35.5,50.49,,189390.0,SLEVIN,70000000.0,0.00270557,4110.34,23,"January 10, 2018, 09:29:12 PM",,,,,,
sling,1074095.0,0.00001501,sling,-0.2,-32.18,-43.77,,229887.0,SLING,1074095.0,0.214029,64.4569,164,"June 25, 2017, 06:33:52 PM",,,,,,
smart-investment-fund-token,722935.0,0.00027797,smart-investment-fund-token,-24.45,-16.56,-36.01,722935.0,2873038.0,SIFT,722935.0,3.97413,237.166,0,0,,,,,,
smartbillions,7089267.0,0.00007430,smartbillions,1.35,4.79,24.9,,7563184.0,SMART,7852650.0,1.06685,23990.3,65,"January 12, 2018, 05:11:10 PM",,,,,,
smartcash,579436771.0,0.00019775,smartcash,66.83,323.12,556.87,5000000000.0,1638931114.0,SMART,1180481051.0,2.82849,3444270.0,12,<b>Today</b> at 02:42:01 AM,Keccak,POW,Cryptopia,,,
smartcoin,23770976.0,0.00000732,smartcoin,5.79,5.68,15.8,,2496547.0,SMC,23770976.0,0.105025,20294.7,67,"January 11, 2018, 12:33:13 PM",X11,POW,Cryptopia,,,
smartmesh,,0.00001003,smartmesh,1.12,3.95,1.66,,,SMT,3141592653.0,0.143368,17610400.0,0,0,,,,,,
smileycoin,25960250000.0,0.000000007,smileycoin,-0.18,8.35,9.88,,2739300.0,SMLY,25960250000.0,0.000105519,3639.07,30,"January 12, 2018, 03:22:19 PM",,,,,,
snakeeyes,,0.00000322,snakeeyes,1.29,23.65,-44.04,,,SNAKE,10000000.0,0.0460709,208.194,0,0,,,,,,
snovio,405002639.0,0.00001786,snovio,1.87,-4.94,74.61,,103291468.0,SNOV,651129644.0,0.255039,3384640.0,52,"January 12, 2018, 10:59:30 AM",,,,Kucoin,,
soarcoin,775517078.0,0.00000309,soarcoin,2.07,10.7,22.05,5000000000.0,34185181.0,SOAR,5000000000.0,0.0440805,39432.6,4,"December 03, 2017, 06:00:07 PM",,,,,,
social,16714020.0,0.00007566,social,-3.91,30.65,71.11,,18076379.0,SCL,16714020.0,1.08151,110837.0,34,"January 11, 2018, 02:16:44 PM",Other,POW,Cryptopia,,,
social-send,31558717.0,0.00006593,social-send,2.81,17.49,155.41,,29700161.0,SEND,33748660.0,0.941108,1185580.0,22,<b>Today</b> at 02:29:01 AM,Quark,POS,Cryptopia,,,
socialcoin-socc,1384879.0,0.00000575,socialcoin-socc,-2.63,26.32,487.7,,113393.0,SOCC,1384879.0,0.0818791,1885.8,50,"January 12, 2018, 07:57:01 PM",,,,,,
soilcoin,5702048.0,0.00000652,soilcoin,1.29,-0.77,25.88,,531694.0,SOIL,5702048.0,0.0932462,1480.09,142,"January 10, 2018, 11:12:58 AM",Scrypt,POW,Cryptopia,,,
sojourn,485214.0,0.00000150,sojourn,,27.28,,,9912.0,SOJ,852366.0,0.0204271,,76,"January 09, 2018, 11:18:38 PM",,,,,,
solarcoin,38636352.0,0.00013641,solarcoin,0.03,-3.34,151.69,,75235409.0,SLR,98034342279.0,1.94727,1734490.0,283,"January 12, 2018, 06:14:26 PM",,,,,,Bittrex
solarflarecoin,14083450.0,0.00000202,solarflarecoin,-6.28,32.04,34.76,,406637.0,SFC,14083450.0,0.0288734,11592.0,26,"January 12, 2018, 12:51:09 PM",Scrypt,POW,Cryptopia,,,
solaris,920843.0,0.00238073,solaris,2.45,-18.6,-9.04,,31294476.0,XLR,1070544.0,33.9846,1538680.0,252,<b>Today</b> at 02:08:16 AM,Nist5,Hybrid,Cryptopia,Kucoin,,
soma,,0.00005208,soma,0.11,-4.13,103.87,,,SCT,60000000.0,0.744594,7193.88,202,"January 12, 2018, 09:29:17 PM",,,,,,
songcoin,32565300.0,0.00000119,songcoin,-0.72,19.36,200.16,,555163.0,SONG,32565300.0,0.0170477,4332.65,52,"January 10, 2018, 02:19:25 AM",Scrypt,POW,Cryptopia,,,
sonm,359600000.0,0.00003689,sonm,3.22,10.85,1.89,,189491939.0,SNM,444000000.0,0.526952,9869540.0,441,<b>Today</b> at 12:21:32 AM,,,,Kucoin,Binance,
sooncoin,12462620.0,0.00000607,sooncoin,6.73,-4.58,-64.91,,1081886.0,SOON,12462620.0,0.0868105,9671.68,2,"January 11, 2018, 07:53:27 PM",SHA256,POW,Cryptopia,,,
sophiatx,,0.00010346,sophiatx,3.61,20.02,85.28,,,SPHTX,350000000.0,1.47861,4804350.0,126,"January 12, 2018, 09:33:23 PM",,,,,,
sovereign-hero,4773.0,0.0170128,sovereign-hero,1.7,33.95,54.7,,1160822.0,HERO,4773.0,243.206,5211.23,0,0,,,,,,
spacecoin,21299331.0,0.00000325,spacecoin,0.5,6.31,-40.75,,988838.0,SPACE,21299331.0,0.0464258,11289.6,12,"January 12, 2018, 12:59:06 AM",Scrypt,Hybrid,Cryptopia,,,
spankchain,300043386.0,0.00003983,spankchain,1.04,14.39,55.54,,170695282.0,SPANK,1000000000.0,0.568902,1865530.0,0,0,POS,POS,Cryptopia,,,
spectre-dividend,,0.00014271,spectre-dividend,8.09,,,,,SXDT,140270691.0,2.04198,109268.0,65,"January 12, 2018, 09:38:10 PM",,,,,,
spectre-utility,,0.00012119,spectre-utility,0.06,,,,,SXUT,42980365.0,1.73408,32596.8,65,"January 12, 2018, 09:38:10 PM",,,,,,
spectrecoin,20785264.0,0.00031657,spectrecoin,-2.42,9.8,2.56,,93928401.0,XSPEC,20785264.0,4.51899,489870.0,75,"January 12, 2018, 06:31:25 PM",POS,POS,Cryptopia,,,
speedcash,261831.0,0.00001897,speedcash,-0.15,5.73,28.67,,70824.0,SCS,476918.0,0.270495,156.408,13,"December 20, 2017, 11:20:40 AM",,,,,,
sphere,3082940.0,0.00047069,sphere,,14.3,-18.21,,20213452.0,SPHR,3082940.0,6.55655,,8,"December 27, 2017, 06:22:55 PM",,,,,,Bittrex
sphre-air,,0.00004903,sphre-air,-0.88,29.01,108.01,,,XID,30820620.0,0.701511,450435.0,38,"December 18, 2017, 03:59:31 AM",None,Asset,Cryptopia,,,
sportscoin,,0.00000020,sportscoin,-0.11,11.2,42.1,,,SPORT,19800001.0,0.00285988,113.109,16,"February 12, 2017, 10:40:13 PM",,,,,,
sportyfi,50078266.0,0.00004132,sportyfi,1.28,1.74,81.36,,29578227.0,SPF,70673454.0,0.59064,559462.0,48,"January 12, 2018, 07:53:38 PM",,,,,,
spots,22406021.0,0.00000104,spots,-0.05,-0.83,66.17,,332198.0,SPT,22406021.0,0.0148263,43612.2,0,0,Scrypt,POW,Cryptopia,,,
spreadcoin,9408785.0,0.00020144,spreadcoin,1.04,6.84,24.63,,27090810.0,SPR,9408785.0,2.87931,1333470.0,322,<b>Today</b> at 02:27:23 AM,X11,POW,Cryptopia,,,Bittrex
sprouts,1961970520697,0.000000001,sprouts,4.1,30.44,67.13,,36529929.0,SPRTS,1961970520697,0.0000186190,507813.0,52,"January 12, 2018, 10:41:41 PM",,,,,,
sproutsextreme,2866607586.0,0.00000001,sproutsextreme,0.27,6.35,-14.78,,409538.0,SPEX,2866607586.0,0.000142865,620.712,20,"January 07, 2018, 08:22:45 AM",,,,,,
starbase,,0.00002129,starbase,0.05,-5.23,84.38,,,STAR,1000000000.0,0.304569,237826.0,0,0,,,,,,
starcash-network,839571.0,0.000279,starcash-network,1.67,159.6,334.03,,3361014.0,STARS,912799.0,4.00325,59170.6,30,"January 12, 2018, 03:30:52 PM",,,,,,
starcredits,4500000.0,0.00005502,starcredits,2.26,-3.4,27.51,20000000.0,3550941.0,STRC,20000000.0,0.789098,12971.0,28,"January 11, 2018, 10:28:45 PM",None,Asset,Cryptopia,,,
starta,5200017.0,0.00009935,starta,16.18,32.85,50.85,,7409140.0,STA,5293348.0,1.42483,12639.8,149,<b>Today</b> at 02:53:21 AM,,,,,,
startcoin,45079785.0,0.00002373,startcoin,2.96,9.06,-4.77,,15293588.0,START,70782220.0,0.339256,677150.0,227,"January 12, 2018, 05:29:54 PM",X11,POW,Cryptopia,,,Bittrex
status,3470483788.0,0.00003549,status,6.01,33.63,1.86,,1761971560.0,SNT,6804870174.0,0.507702,73725200.0,0,0,,,,Kucoin,Binance,Bittrex
stealthcoin,27842918.0,0.00008406,stealthcoin,0.02,10.09,-3.47,,33408996.0,XST,27842918.0,1.19991,230359.0,166,"January 12, 2018, 11:41:53 PM",Scrypt,POW,Cryptopia,,,Bittrex
steem,246745300.0,0.00040651,steem,5.72,34.55,0.25,,1434720285.0,STEEM,263719394.0,5.81458,15511600.0,26,"May 09, 2016, 05:45:18 PM",,,,,,Bittrex
steem-dollars,5931790.0,0.0004645,steem-dollars,3.0,21.2,-12.52,,39332157.0,SBD,5931790.0,6.63074,1669410.0,0,0,,,,,,Bittrex
stellar,17890161406.0,0.00005043,stellar,4.27,28.89,6.98,,12904459665.0,XLM,103590302054,0.721316,426431000.0,101,<b>Today</b> at 02:16:29 AM,,,,,Binance,Bittrex
steneum-coin,,0.0001621,steneum-coin,-3.91,2.91,,,,STN,5242549.0,2.31671,723966.0,0,0,,,,,,
steps,18625017.0,0.00000033,steps,-0.2,-0.26,27.55,,87640.0,STEPS,18625017.0,0.0047055,386.287,124,"December 21, 2017, 07:50:56 AM",,,,,,
sterlingcoin,4223332.0,0.00001911,sterlingcoin,0.02,20.04,23.57,,1153958.0,SLG,4223332.0,0.273234,3046.71,255,"January 12, 2018, 09:28:04 PM",POS,POS,Cryptopia,,,
stex,,0.00014482,stex,0.29,83.75,38.46,,,STEX,100000000.0,2.07081,371.376,0,0,,,,,,
storj,133178683.0,0.00015748,storj,1.49,14.61,7.55,,299991642.0,STORJ,424999998.0,2.25255,14668900.0,99,"January 11, 2018, 03:05:52 PM",,,,,Binance,Bittrex
storjcoin-x,,0.00013971,storjcoin-x,5.53,0.79,19.93,,,SJCX,500000000.0,1.99745,25019.6,0,0,,,,,,
storm,2438108603.0,0.00000902,storm,3.11,6.21,-27.69,,314540391.0,STORM,10000000000.0,0.12901,4762570.0,31,"January 12, 2018, 05:59:18 PM",,,,,,
stox,42358070.0,0.00009187,stox,3.24,12.94,15.05,,55549643.0,STX,58197794.0,1.31143,3105070.0,122,"January 12, 2018, 09:54:17 PM",,,,Kucoin,,
straks,781587.0,0.000862,straks,2.68,-0.81,41.29,150000000.0,9673390.0,STAK,41776245.0,12.3766,186757.0,81,"January 12, 2018, 11:34:40 PM",,,,,,
stratis,98698330.0,0.0013376,stratis,1.94,19.59,24.79,,1888345803.0,STRAT,98698330.0,19.1325,40256000.0,1012,<b>Today</b> at 01:08:57 AM,POS,POS,Cryptopia,,Binance,Bittrex
streamr-datacoin,677154514.0,0.00001808,streamr-datacoin,1.79,7.46,-4.81,,174856870.0,DATA,987154514.0,0.258223,3442120.0,0,0,,,,,,
stress,565134332.0,0.00000014,stress,-0.2,13.69,8.23,,1128161.0,STS,565134332.0,0.00199627,42.4999,34,"October 05, 2017, 04:36:21 PM",,,,,,
strikebitclub,,0.00002470,strikebitclub,0.32,9.6,-19.01,,,SBC,195247235.0,0.353432,189862.0,0,0,Other,Hybrid,Cryptopia,,,
stronghands,,0.000000001,stronghands,4.0,205.53,197.84,,,SHND,12192145846714,0.0000146880,962349.0,64,"January 11, 2018, 02:43:39 AM",,,,,,
student-coin,48043991.0,0.00001562,student-coin,5.5,39.49,123.31,,10778381.0,STU,200000000.0,0.224344,85976.3,22,"August 19, 2017, 11:18:36 PM",,,,,,
substratum,226091449.0,0.00016568,substratum,-1.35,21.11,31.56,,535798298.0,SUB,352000000.0,2.36983,22439000.0,30,<b>Today</b> at 02:18:54 AM,,,,Kucoin,Binance,
sugar-exchange,3500000.0,0.00004507,sugar-exchange,-0.86,0.44,31.18,,2263643.0,SGR,80000000.0,0.646755,106268.0,78,"January 12, 2018, 04:45:32 PM",,,,,,
sumokoin,2827061.0,0.00059961,sumokoin,5.36,36.16,69.59,88888888.0,24229189.0,SUMO,11715950.0,8.57045,914412.0,161,"January 12, 2018, 10:43:02 PM",CryptoNight,POW,Cryptopia,,,
suncontract,109212011.0,0.00003783,suncontract,-0.81,13.28,106.04,,58981694.0,SNC,122707503.0,0.540066,1685640.0,123,"January 12, 2018, 08:48:47 PM",,,,,,
super-bitcoin,,0.00660397,super-bitcoin,-3.01,-10.02,-27.83,21210000.0,,SBTC,,94.3829,4778850.0,19,"January 11, 2018, 04:01:38 PM",,,,,,
supercoin,47865838.0,0.00000279,supercoin,6.59,28.78,2.9,,1909574.0,SUPER,47865838.0,0.0398943,30548.8,6,"January 12, 2018, 11:52:52 AM",,,,,,
supernet-unity,816061.0,0.00673259,supernet-unity,,1.92,-6.13,,74261939.0,UNITY,816061.0,91.0005,,314,"January 12, 2018, 10:06:34 AM",,,,,,
suretly,,0.00065393,suretly,0.75,-6.51,17.69,,,SUR,237614.0,9.35702,39882.7,92,"January 12, 2018, 09:10:47 AM",,,,,,
swagbucks,341005.0,0.00030188,swagbucks,11.84,-32.81,103.45,,1471590.0,BUCKS,341005.0,4.31545,8603.36,56,"January 10, 2018, 11:12:34 AM",Scrypt,Hybrid,Cryptopia,,,
swapcoin,,0.00001799,swapcoin,0.22,107.2,72.72,,,SWP,76403509.0,0.257308,462.099,2,"December 29, 2017, 09:50:38 PM",,,,,,
swaptoken,15320585365.0,0.0000000009,swaptoken,4.22,45.96,-92.16,,201378.0,TOKEN,15320585365.0,0.0000131443,78321.7,27,"January 12, 2018, 06:12:32 PM",,,,,,
swarm-city,8016899.0,0.00031193,swarm-city,-0.08,25.74,12.9,,35697166.0,SWT,8016899.0,4.45274,1731050.0,10,"January 03, 2018, 09:24:22 PM",,,,,,Bittrex
swftcoin,,0.00000358,swftcoin,-1.35,-12.03,,,,SWFTC,,0.0511275,45514700.0,21,"January 11, 2018, 03:18:18 AM",,,,,,
swing,2895323.0,0.00002345,swing,0.94,6.17,69.64,,971201.0,SWING,2895323.0,0.335438,1937.71,50,"January 11, 2018, 10:08:33 AM",SHA256,POS,Cryptopia,,,
sydpak,160015.0,0.00001284,sydpak,-0.04,5.91,28.72,,29364.0,SDP,160015.0,0.183507,45.248,12,"October 01, 2017, 02:37:16 PM",,,,,,
syndicate,17229870.0,0.00007028,syndicate,1.06,27.02,27.63,,17313090.0,SYNX,17229870.0,1.00483,7601410.0,20,"January 12, 2018, 07:25:10 PM",POS,POS,Cryptopia,,,Bittrex
synereo,82256324.0,0.00007271,synereo,5.66,21.55,14.35,,85375484.0,AMP,949291063.0,1.03792,4356220.0,407,"January 12, 2018, 09:47:21 PM",None,Asset,Cryptopia,,,Bittrex
synergy,3338403.0,0.00040424,synergy,-2.82,19.04,11.4,,19289190.0,SNRG,3338403.0,5.77797,244440.0,95,"December 04, 2017, 08:47:04 PM",,,,,,Bittrex
syscoin,530203153.0,0.00005655,syscoin,1.3,9.09,14.47,888000000.0,428894585.0,SYS,530203153.0,0.808925,5079780.0,114,"January 11, 2018, 11:23:14 PM",,,,,,Bittrex
t-coin,,0.00000004,t-coin,-0.58,66.29,84.12,,,TCOIN,,0.000555774,13018.3,0,0,,,,,,
taas,8146001.0,0.00077703,taas,1.22,10.08,40.82,,90355441.0,TAAS,8146001.0,11.092,597352.0,258,"January 12, 2018, 07:32:11 PM",,,,,,
tagcoin,6053175.0,0.00001241,tagcoin,-5.97,16.41,1.93,,1074124.0,TAG,6053175.0,0.177448,9209.94,153,"January 11, 2018, 10:25:17 PM",,,,,,
tagrcoin,38669634.0,0.00000012,tagrcoin,0.03,8.96,2.79,,66319.0,TAGR,38669634.0,0.00171502,27.2973,23,"August 30, 2016, 08:50:48 AM",,,,,,
tajcoin,8131435.0,0.00000287,tajcoin,-4.38,14.03,25.6,,333519.0,TAJ,8131435.0,0.041016,6745.11,17,"January 11, 2018, 02:25:09 AM",Blake2s,Hybrid,Cryptopia,,,
tao,32721113.0,0.00003737,tao,2.36,24.51,6.87,,17483120.0,XTO,32721113.0,0.534307,4237.62,36,"January 12, 2018, 09:23:52 PM",,,,,,
target-coin,952429892.0,0.00000360,target-coin,-1.83,-11.25,76.67,,48928990.0,TGT,2000100000.0,0.0513728,33543.1,21,"December 28, 2017, 05:28:18 AM",,,,,,
tattoocoin,90421856.0,0.00000078,tattoocoin,-2.84,24.8,15.52,,1007055.0,TSE,90421856.0,0.0111373,15009.7,29,"January 09, 2018, 10:34:52 AM",Scrypt,Hybrid,Cryptopia,,,
tattoocoin-limited,,0.00010489,tattoocoin-limited,-0.11,5.64,12.59,,,TLE,975608.0,1.49987,435.647,29,"January 09, 2018, 10:34:52 AM",,,,,,
teamup,,0.00000004,teamup,-0.11,43.45,24.04,,,TEAM,301004896.0,0.000571977,585.532,10,"November 15, 2017, 02:42:02 PM",,,,,,
techshares,,0.00004365,techshares,19.16,12.53,3.12,,,THS,646359158.0,0.624554,106241.0,0,0,,,,,,
tekcoin,1414054562.0,0.00000002,tekcoin,0.53,-13.4,-26.11,,404038.0,TEK,1414054562.0,0.00028573,3610.55,316,"May 08, 2017, 09:59:23 AM",SHA256,Hybrid,Cryptopia,,,
tellurion,,0.00000013,tellurion,-0.16,-12.24,124.84,,,TELL,,0.00190784,3041.41,14,"<span class=""edited"" title=""Last edit: December 29, 2017, 09:45:54 PM by paramind22"">December 29, 2017, 09:33:15 PM</span>",,,,,,
tenx,104661310.0,0.00024567,tenx,2.01,15.2,-9.16,,367776704.0,PAY,205218256.0,3.51397,25183500.0,236,"January 12, 2018, 10:47:33 PM",None,Asset,Cryptopia,Kucoin,,Bittrex
teracoin,,0.000000007,teracoin,-0.16,-0.68,,,,TERA,92233720369.0,0.000102092,56.4411,0,0,,,,,,
terracoin,22040053.0,0.00002777,terracoin,4.43,12.77,-6.8,42000000.0,8787016.0,TRC,22040053.0,0.398684,57849.1,121,<b>Today</b> at 01:45:15 AM,SHA256,POW,Cryptopia,,,
terranova,,0.00309402,terranova,-5.7,-21.86,-97.85,,,TER,974732.0,44.2342,23996.2,2,"July 15, 2017, 09:36:48 PM",Scrypt,Hybrid,Cryptopia,,,
