,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
ark,97981284.0,0.00063298,ark,0.48,11.53,33.07,,887112747.0,ARK,129231284.0,9.0539,10392400.0,542,"January 12, 2018, 10:03:13 PM",None,DPOS,Cryptopia,,Binance,Bittrex
artbyte,792537250.0,0.00000285,artbyte,1.84,-9.02,56.0,,32260387.0,ABY,792537250.0,0.0407052,2868010.0,45,"January 12, 2018, 01:08:46 PM",Scrypt,POW,Cryptopia,,,Bittrex
artex-coin,18781750.0,0.00000068,artex-coin,-0.28,17.83,59.51,500000000.0,181938.0,ATX,268781750.0,0.00968698,687.627,4,"January 10, 2018, 01:51:23 AM",,,,,,
asch,91848815.0,0.00010909,asch,1.8,6.56,18.76,,143112394.0,XAS,113348815.0,1.55813,4296360.0,42,"January 12, 2018, 03:44:11 PM",,,,Kucoin,,
aseancoin,,0.00000100,aseancoin,-0.16,22.77,-17.33,,,ASN,,0.0142994,747.287,3,"January 07, 2018, 01:41:17 PM",,,,,,
asiacoin,1244505515.0,0.00000094,asiacoin,11.73,-9.39,-5.77,,16726030.0,AC,1244505515.0,0.0134399,14553.7,191,"January 12, 2018, 05:11:29 PM",POS,POS,Cryptopia,,,
asiadigicoin,24931054.0,0.00000038,asiadigicoin,-0.09,30.41,41.66,,134905.0,ADCN,210000000.0,0.00541114,1030.47,0,0,,,,,,
astro,3313833.0,0.00029386,astro,1.24,4.19,24.96,,13923335.0,ASTRO,6999999.0,4.20158,47664.5,0,0,,,,,,
atbcoin,40303127.0,0.00007848,atbcoin,1.94,5.53,74.34,300000000.0,45151593.0,ATB,52279927.0,1.1203,5693820.0,101,"January 12, 2018, 11:52:26 PM",,,,,,
atlant,13225026.0,0.00018341,atlant,0.91,39.26,302.45,54175041.0,34625103.0,ATL,54175041.0,2.61815,409404.0,127,<b>Today</b> at 02:01:23 AM,,,,,,
atmcoin,,0.00045392,atmcoin,0.71,2.7,12.3,,,ATMC,10000000000.0,6.48731,127856000.0,0,0,,,,,,
