,ethereum
2015-11-01,1.06
2015-10-31,0.9166270000000001
2015-10-30,1.04
2015-10-29,1.21
2015-10-28,1.0
2015-10-27,0.869641
2015-10-26,0.731317
2015-10-25,0.616039
2015-10-24,0.5635899999999999
2015-10-23,0.5396569999999999
2015-10-22,0.567702
2015-10-21,0.447329
2015-10-20,0.434829
2015-10-19,0.48901400000000006
2015-10-18,0.517734
2015-10-17,0.5471779999999999
2015-10-16,0.5364949999999999
2015-10-15,0.561878
2015-10-14,0.522968
2015-10-13,0.6076550000000001
2015-10-12,0.62603
2015-10-11,0.634963
2015-10-10,0.627857
2015-10-09,0.650628
2015-10-08,0.6217159999999999
2015-10-07,0.609388
2015-10-06,0.650645
2015-10-05,0.6286430000000001
2015-10-04,0.668379
2015-10-03,0.687171
2015-10-02,0.678574
2015-10-01,0.6902149999999999
2015-09-30,0.738644
2015-09-29,0.661146
2015-09-28,0.582886
2015-09-27,0.720839
2015-09-26,0.785964
2015-09-25,0.736223
2015-09-24,0.81361
2015-09-23,0.8934059999999999
2015-09-22,0.9017959999999999
2015-09-21,0.919047
2015-09-20,0.9384450000000001
2015-09-19,0.882391
2015-09-18,0.853685
2015-09-17,0.874231
2015-09-16,0.907175
2015-09-15,0.9444100000000001
2015-09-14,0.8756219999999999
2015-09-13,0.936003
2015-09-12,1.04
2015-09-11,0.982978
2015-09-10,1.17
2015-09-09,1.21
2015-09-08,1.24
2015-09-07,1.25
2015-09-06,1.3
2015-09-05,1.34
2015-09-04,1.27
2015-09-03,1.26
2015-09-02,1.29
2015-09-01,1.35
2015-08-31,1.36
2015-08-30,1.32
2015-08-29,1.18
2015-08-28,1.19
2015-08-27,1.15
2015-08-26,1.16
2015-08-25,1.14
2015-08-24,1.23
2015-08-23,1.35
2015-08-22,1.38
2015-08-21,1.4
2015-08-20,1.46
2015-08-19,1.26
2015-08-18,1.09
2015-08-17,1.2
2015-08-16,1.57
2015-08-15,1.69
2015-08-14,1.83
2015-08-13,1.83
2015-08-12,1.22
2015-08-11,1.07
2015-08-10,0.708448
2015-08-09,0.701897
2015-08-08,0.753325
2015-08-07,2.77
