,bitcoin,Log Returns,AVG,Squared,RMS 52,P = (((avg / rms) – (1 / sqrt (n))) + 1) / 2
5/15/2017,1738.43,0.003783719,0.011210545,0.000125676,0.007609522,1.167275431
5/22/2017,2173.4,0.096982455,0.013261731,0.000175874,0.00779478,1.281342771
5/29/2017,2255.61,0.016124349,0.01203532,0.000144849,0.007907033,1.191714008
6/5/2017,2686.81,0.075972945,0.012724623,0.000161916,0.008027892,1.223188225
6/12/2017,2659.63,-0.004415733,0.011096427,0.000123131,0.008075963,1.117665783
6/19/2017,2589.6,-0.011588537,0.010492879,0.000110101,0.008107674,1.077757962
6/26/2017,2478.45,-0.019052524,0.011110767,0.000123449,0.008181312,1.109695809
7/3/2017,2564.06,0.014748022,0.011040154,0.000121885,0.008252941,1.099524275
7/10/2017,2372.56,-0.033710979,0.010843656,0.000117585,0.00833795,1.080921612
7/17/2017,2228.41,-0.027222105,0.009998251,9.9965E-05,0.008390663,1.026458756
7/24/2017,2754.86,0.092104435,0.012008757,0.00014421,0.008503876,1.136738013
7/31/2017,2875.34,0.018589673,0.013000445,0.000169012,0.008647232,1.182373816
8/7/2017,3378.94,0.070091274,0.014560697,0.000212014,0.008830874,1.255082414
8/14/2017,4325.13,0.107218685,0.016966006,0.000287845,0.009093245,1.363553132
8/21/2017,4001.74,-0.033750297,0.016034534,0.000257106,0.009285571,1.294073775
8/28/2017,4382.66,0.039488912,0.016975821,0.000288178,0.009520606,1.32219291
9/4/2017,4236.31,-0.014750047,0.016232548,0.000263496,0.009723907,1.265334548
9/11/2017,4161.27,-0.007761837,0.016060595,0.000257943,0.009912287,1.240798131
9/18/2017,4065.2,-0.010143979,0.015851935,0.000251284,0.010088581,1.216299985
9/25/2017,3926.07,-0.015123878,0.015577421,0.000242656,0.010260496,1.189759364
10/2/2017,4409.32,0.05041358,0.016490922,0.000271951,0.010456366,1.219221401
10/9/2017,4772.02,0.034330637,0.01705805,0.000290977,0.010666873,1.230243155
10/16/2017,5725.59,0.079117991,0.018311351,0.000335306,0.010916797,1.26934028
10/23/2017,5930.32,0.015257883,0.018416534,0.000339169,0.011170346,1.255011785
10/30/2017,6130.53,0.014419893,0.018111511,0.000328027,0.011423445,1.223396689
11/6/2017,7022.76,0.059009805,0.019220619,0.000369432,0.01170866,1.251448914
11/13/2017,6559.49,-0.029637753,0.018628243,0.000347011,0.011958161,1.209554947
11/20/2017,8200.64,0.096977673,0.020097239,0.000403899,0.012241145,1.251551301
11/27/2017,9818.35,0.078190762,0.021639862,0.000468284,0.012579855,1.290762313
12/4/2017,11657.2,0.074555738,0.022817772,0.000520651,0.012949755,1.311674221
