Ticker,Algo,Network,Exchange,Name
WDC,Scrypt,POW,Cryptopia,worldcoin
XCO,SHA256,Hybrid,Cryptopia,x-coin
XGOX,Scrypt,Hybrid,Cryptopia,xgox
XBY,Scrypt,POW,Cryptopia,xtrabytes
ZEC,Equihash,POW,Cryptopia,zcash
ZCL,Equihash,POW,Cryptopia,zclassic
XZC,Lyra2RE,POW,Cryptopia,zcoin
ZEIT,Scrypt,POS,Cryptopia,zeitcoin
ZEN,Equihash,POW,Cryptopia,zencash
ZER,Equihash,POW,Cryptopia,zero
ZET,SHA256,POW,Cryptopia,zetacoin
ZOI,Lyra2RE,POW,Cryptopia,zoin
ZSE,X11,Hybrid,Cryptopia,zsecoin
