AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,Date,Time,,,,
600000000,0.00002158,district0x,2.84,-12.74,142.1,,209623800,DNT,1000000000,0.349373,27676000,39,1/7/2018,09:01:32 AM,,,,
901269,0.00003777,ronpaulcoin,-0.41,121.69,39.52,,549804,RPC,901269,0.610033,9036,233,1/7/2018,09:01:15 PM,,,,
3000000,0.00148357,minexcoin,-0.58,-4.63,25.69,19000000,71852400,MNX,6000000,23.9508,115126,713,1/7/2018,09:00:57 PM,,,,
2302948000,0.00000208,bitbean,-1.4,-7.98,121.7,,77231204,BITB,2302948000,0.0335358,11110400,148,1/7/2018,09:00:42 PM,,,,
238421940,0.00027845,dragonchain,1.48,16.8,237.91,,1074586757,DRGN,433494437,4.50708,23943800,28,1/7/2018,09:00:10 PM,,,,
2319559372,0.00000038,noblecoin,28.68,101.35,568.75,,14258656,NOBL,2319559372,0.00614714,473829,599,1/7/2018,08:58:52 PM,,,,
,0.000207,boscoin,-1.02,17.38,48.83,,,BOS,500000000,3.33557,34005.5,205,1/7/2018,08:58:48 PM,,,,
3.2519E+11,0.00000042,dentacoin,-7.02,269.97,1100.39,8E+12,2219907753,DCN,1.8414E+12,0.00682649,31747000,25,1/7/2018,08:58:27 PM,,,,
150000000,0.00009346,airswap,3.69,16.56,186.46,,226912500,AST,500000000,1.51275,47624600,10,1/7/2018,08:58:19 PM,,,,
572115,0.00017551,bittokens,2.04,76.28,34.15,,1619114,BXT,572115,2.83005,1534.33,7,1/7/2018,08:57:35 PM,,,,
20907937690,0.00000006,photon,,-0.86,462.27,,19902391,PHO,20907937690,0.000951906,,32,1/7/2018,08:56:47 PM,,,,
1.12677E+11,0.00000104,dogecoin,-3.37,10.56,86.79,,1890363092,DOGE,1.12677E+11,0.0167769,276518000,1329,1/7/2018,08:56:20 PM,,,,
125685101,0.00000928,sexcoin,-4.74,-15.94,-34.49,,18867470,SXC,125685101,0.150117,119103,76,1/7/2018,08:54:41 PM,,,,
162299801,0.00004092,viberate,-0.47,4.88,57.9,,107224662,VIB,200000000,0.660658,14269400,157,1/7/2018,08:54:19 PM,,,,
13000000,0.0002808,aeron,-0.54,-11.85,449.57,,59178080,ARN,20000000,4.55216,42617000,76,1/7/2018,08:53:51 PM,,,,
96833705,0.0699895,ethereum,1.05,8.98,50.45,,1.09324E+11,ETH,96833705,1128.99,5401660000,854,1/7/2018,08:53:16 PM,,,,
481898,0.00021782,platinumbar,1.34,11.05,147.81,,1692578,XPTX,481898,3.51232,7273.89,35,1/7/2018,08:52:02 AM,,,,
60123682,0.00000599,flik,19.03,15.12,61.38,600000000,5812800,FLIK,80000000,0.0966807,50906,50,1/7/2018,08:51:46 PM,,,,
502179430,0.00000064,daxxcoin,0.5,-15.17,286.09,,5184701,DAXX,527179430,0.0103244,115083,38,1/7/2018,08:51:42 PM,,,,
14918793018,0.00000004,litedoge,-1.37,109.66,384.9,,9297213,LDOGE,14918793018,0.000623188,82751.7,39,1/7/2018,08:50:48 PM,,,,
3709674,0.00050427,hedge,21.74,42.43,52.14,,30261372,HDG,5100033,8.15742,368918,10,1/7/2018,08:49:24 AM,,,,
,0.00000203,sisa,-26.54,-11.42,45.24,,,SISA,50000000,0.0326803,62637.5,15,1/7/2018,08:49:11 PM,,,,
46664505,0.00001924,masternodecoin,4.63,3.5,46.39,,14523861,MTNC,80448999,0.31124,90681.7,254,1/7/2018,08:48:40 PM,,,,
1E+11,6E-10,dix-asset,-34.05,-28.49,1479.4,,1010360,DIX,1E+11,1.01036E-05,86768.7,20,1/7/2018,08:48:17 PM,,,,
1334298,0.00072023,innova,2.91,12.02,95.86,42000000,15545769,INN,2084298,11.6509,374176,121,1/7/2018,08:47:47 PM,,,,
98028877,0.00009353,mobilego,-2.48,17.82,13.59,,148400035,MGO,100000000,1.51384,693333,401,1/7/2018,08:47:16 PM,,,,
25000000000,0.00000009,eccoin,-1.6,-1.58,17.08,25000000000,36475250,ECC,25000000000,0.00145901,240850,141,1/7/2018,08:46:11 PM,,,,
172359394,0.00004036,pura,17.83,37.27,25.64,350000000,112305417,PURA,179141888,0.651577,390961,24,1/7/2018,08:46:05 AM,,,,
9343685086,0.00000007,life,0.07,7.51,50.44,1E+11,10970421,LIFE,1E+11,0.0011741,892523,11,1/7/2018,08:45:33 PM,,,,
643513,0.00006956,briacoin,,,101.76,3000000,737190,BRIA,643513,1.14557,,16,1/7/2018,08:44:38 AM,,,,
1445976590,0.00001205,cindicator,3.13,15.41,121.32,,282016044,CND,2000000005,0.195035,37839800,154,1/7/2018,08:44:32 PM,,,,
